driverId,week,hours-logged,miles-logged
53,18,74,3800
100,50,67,100
16,10,63,1200
68,34,75,2200
45,19,54,3400
34,20,58,1300
23,20,55,300
97,29,67,2600
41,6,66,500
96,22,57,1200
92,11,51,3000
84,7,68,1500
11,30,62,2200
61,31,55,2100
106,15,75,1600
96,33,80,1200
58,19,59,1400
95,38,59,1600
15,14,61,1900
97,50,65,2300
38,28,61,500
78,27,60,1200
75,52,57,3300
44,15,60,2000
68,43,65,3700
92,16,73,1900
33,47,64,1100
30,25,64,2900
13,50,52,1500
18,2,66,2500
105,41,79,1200
44,29,56,2700
75,28,54,700
108,14,57,1300
14,25,61,500
70,46,60,0
91,2,58,1600
20,4,61,1000
55,8,70,2600
34,43,56,400
98,52,62,1900
43,23,76,2100
61,35,67,300
38,8,62,700
88,49,64,1100
70,6,80,1800
101,18,69,1900
20,35,54,100
78,38,72,3500
57,33,67,3100
35,34,62,2100
108,14,68,800
99,25,66,1800
84,49,71,1800
21,51,54,0
57,35,66,2400
44,7,65,3400
28,28,80,3000
81,22,67,1600
79,40,65,600
38,3,59,3400
65,6,52,3600
36,50,79,2000
109,38,69,3100
105,44,57,800
63,37,80,2200
96,25,58,500
41,34,68,2600
49,18,58,2700
64,25,65,1600
50,25,53,3200
84,37,66,2400
96,51,63,3900
54,34,50,0
46,27,53,3600
60,20,53,1800
32,32,61,1200
60,17,74,300
55,11,71,2900
34,18,58,3800
83,47,53,2400
27,52,67,2000
88,43,52,3800
53,7,62,2600
80,44,60,1600
16,23,60,300
94,27,59,3200
19,25,52,500
70,43,72,1900
22,23,61,4000
85,14,58,3700
10,22,66,1300
101,50,53,1000
101,40,68,2000
88,11,77,1000
88,27,57,3100
97,28,56,3900
48,10,59,900
92,18,58,3800
95,34,57,1000
38,11,75,1800
36,12,54,2300
55,13,55,4000
79,36,61,1100
68,17,66,2400
43,14,66,2300
49,28,71,1300
62,37,65,400
35,1,64,3300
34,33,59,100
32,17,60,1200
84,11,58,1500
107,17,53,2000
108,33,66,3400
46,37,76,800
74,35,69,500
108,40,72,2600
32,51,73,1600
23,24,62,2500
63,12,68,500
31,42,64,0
15,26,76,2700
103,10,74,2800
31,12,50,500
14,23,74,2200
85,16,80,1100
77,18,51,400
82,24,59,1700
95,43,75,1900
75,33,75,2300
25,35,50,100
10,24,79,3900
11,38,55,2400
72,5,50,1400
92,18,50,2500
34,17,72,2600
61,36,73,700
43,29,74,3300
85,13,51,2600
18,38,72,1400
97,51,56,500
62,18,55,1700
85,14,52,300
50,47,65,3900
62,19,52,2300
22,4,72,1400
72,33,56,3600
21,49,66,400
96,18,66,100
38,35,52,800
95,45,68,1700
29,27,69,900
98,7,80,1400
67,50,51,1800
44,5,59,3100
71,47,65,200
29,4,59,600
41,40,77,1500
43,34,78,3600
101,17,75,2800
73,26,79,2000
87,4,75,200
10,12,58,1000
78,49,51,3600
14,17,55,3700
15,10,76,3600
56,46,70,800
31,20,57,2700
60,13,52,2200
94,9,80,3400
65,44,67,1300
44,30,70,700
52,17,64,3000
35,51,56,100
71,21,69,1600
75,31,70,1000
58,47,54,800
11,5,77,3500
69,47,54,0
39,37,78,2300
63,48,71,3600
50,43,52,2300
67,43,50,2500
67,28,66,500
32,40,69,1400
97,51,65,600
21,42,61,200
82,23,78,3200
16,44,51,800
18,41,75,700
47,7,72,400
104,28,67,2900
35,46,54,1000
106,25,63,3500
89,24,66,2900
30,6,71,900
37,51,57,3300
90,21,74,3700
99,14,63,2000
24,28,76,2800
101,8,66,1100
10,22,78,500
41,9,72,3000
35,25,57,3000
104,21,63,800
43,34,64,1200
28,42,72,1100
35,21,68,2600
39,48,53,400
66,29,66,700
103,47,68,2500
73,37,54,3000
101,14,58,2000
34,37,65,100
91,30,67,200
61,9,77,2400
63,34,53,3600
76,1,62,600
84,14,77,100
37,44,52,600
48,12,55,700
70,11,80,2200
36,27,71,1400
60,26,78,700
97,13,74,900
73,40,62,1500
40,1,58,3500
27,52,52,300
83,32,68,1700
22,50,77,3900
22,21,68,4000
78,18,71,200
93,25,50,100
108,7,52,0
58,4,68,1500
26,6,54,3500
23,11,78,800
13,41,69,3500
69,4,51,1700
101,22,60,900
63,15,68,3800
58,21,64,2100
45,2,60,700
16,34,59,3100
69,7,71,400
54,41,73,1700
87,10,67,1600
47,33,51,3800
97,47,57,300
33,3,60,2000
109,43,70,1500
60,20,79,2600
18,27,58,1000
47,44,66,1300
98,48,59,1100
42,50,55,3200
87,10,79,1200
59,40,59,1100
17,43,57,600
95,4,64,900
31,50,80,3800
94,37,50,3700
58,1,61,2100
34,14,79,2200
34,19,69,600
74,18,67,300
47,12,73,1400
104,42,75,2300
32,48,71,2600
55,50,69,2300
12,29,79,3400
36,4,80,3500
95,40,70,600
21,1,62,1700
43,41,66,1900
50,50,80,1500
89,33,77,1800
94,2,73,2400
77,17,56,1900
44,5,70,1500
69,37,71,2800
56,37,60,400
88,25,80,2100
18,43,71,2700
79,44,74,1600
75,23,56,2500
42,21,57,900
33,27,73,2700
48,25,58,2600
73,16,75,2700
60,39,60,3700
81,23,80,2200
87,40,58,0
100,48,57,2100
75,17,80,100
46,28,69,1600
31,7,57,2000
102,31,62,3400
21,30,52,1800
74,41,63,3600
59,29,50,1800
95,17,50,1800
72,6,57,3000
108,27,68,600
37,30,63,3200
34,38,51,2300
54,39,67,3200
95,29,54,3300
100,51,79,3600
98,26,60,1600
34,37,56,1600
84,14,60,2800
41,15,73,2000
16,47,76,2500
109,51,62,2000
11,26,80,4000
104,16,77,2700
43,1,73,2900
102,25,79,400
89,5,79,1500
19,29,60,900
91,39,74,2400
21,42,57,1900
55,11,73,2800
86,47,76,3900
33,38,56,700
10,43,58,3800
24,41,60,2800
79,16,77,3600
45,6,56,400
28,11,73,1200
28,42,63,1900
12,49,52,3200
61,32,56,2400
94,34,80,2900
104,18,54,1700
28,31,66,2000
44,26,59,2100
38,22,57,1300
101,42,59,0
26,30,55,3300
83,16,60,900
78,32,74,3900
27,8,63,900
37,19,75,2000
103,7,77,2800
44,29,59,3900
22,36,73,4000
26,40,75,400
108,40,68,2300
81,29,69,2000
58,44,56,500
62,26,75,3000
78,14,72,3100
50,48,67,2100
59,44,51,800
83,51,69,1000
102,4,72,3700
61,37,67,1600
52,44,80,300
83,24,57,2300
51,18,54,2100
96,6,62,3000
44,47,60,200
95,38,65,500
63,26,54,3500
21,35,80,500
63,26,73,1300
90,32,60,2500
50,49,65,2900
47,16,52,2600
70,38,58,900
10,52,68,1200
107,17,66,3200
29,20,65,4000
102,48,68,2800
22,40,72,3400
34,34,78,1600
93,8,78,3400
48,9,64,3700
68,51,75,2800
40,30,79,1300
23,29,62,1500
86,23,80,4000
96,12,67,600
76,20,70,1400
41,52,54,3900
68,45,75,1600
84,50,73,1700
34,46,53,2900
33,43,77,700
98,34,64,800
103,24,77,300
71,46,77,300
83,17,64,900
16,43,57,1700
83,34,64,2400
35,43,50,1900
106,16,77,3200
40,2,61,1100
70,39,52,2200
37,34,68,4000
15,32,79,1300
42,49,76,3600
13,1,63,1900
86,52,65,2600
19,35,79,100
56,9,62,200
20,13,67,2400
37,36,67,1600
48,45,53,200
13,24,66,1800
26,22,65,500
51,40,63,2600
39,8,70,2800
87,12,67,1000
90,34,59,2100
79,39,64,2800
10,46,53,2000
18,1,70,3900
101,42,72,200
69,6,60,2100
100,12,80,3200
37,30,51,2100
29,23,54,4000
42,12,64,600
66,3,75,1500
68,16,76,2200
95,2,56,3700
41,10,55,3300
72,33,56,2800
85,14,56,2000
76,15,62,3600
42,8,52,200
64,8,69,3400
37,51,79,1300
34,21,53,3700
47,40,64,900
63,41,54,2300
52,47,58,3000
105,9,57,800
62,43,64,3500
78,8,76,700
24,27,64,4000
61,31,60,1900
17,20,77,3400
13,21,63,700
61,36,64,800
30,24,78,3100
88,43,80,2300
99,17,79,3600
104,52,57,3000
46,41,53,1600
31,42,74,500
104,40,67,0
16,39,53,1600
69,17,58,2100
107,26,50,1700
16,39,61,900
58,51,52,3800
82,26,65,2000
68,28,70,100
19,20,52,3400
93,7,50,3100
79,26,78,2500
43,14,54,3700
63,32,77,2300
23,2,66,0
23,30,58,3800
105,7,67,2300
101,43,78,1600
109,7,53,800
14,3,67,2300
68,32,66,4000
61,20,61,3500
79,40,62,3100
